sigla,sdg_id,n,share
UFERSA,4,635,0.09334
UFERSA,3,532,0.0782
UFERSA,14,472,0.06938
UFERSA,7,452,0.06644
UFERSA,16,319,0.04689
UFERSA,11,258,0.03792
UFERSA,10,194,0.02852
UFERSA,12,188,0.02763
UFERSA,8,177,0.02602
UFERSA,9,160,0.02352
UFERSA,13,117,0.0172
UFERSA,5,108,0.01588
UFERSA,17,51,0.0075
UFERSA,1,45,0.00661
UNIR,4,1524,0.22969
UNIR,3,983,0.14815
UNIR,15,931,0.14032
UNIR,2,509,0.07671
UNIR,16,455,0.06858
UNIR,10,416,0.0627
UNIR,14,394,0.05938
UNIR,5,284,0.0428
UNIR,11,269,0.04054
UNIR,6,217,0.03271
UNIR,8,196,0.02954
UNIR,13,100,0.01507
UNIR,9,94,0.01417
UNIR,7,76,0.01145
UNIR,12,72,0.01085
UNIR,17,64,0.00965
UNIR,1,51,0.00769
UFGD,4,1369,0.19003
UFGD,2,1021,0.14173
UFGD,15,901,0.12507
UFGD,3,838,0.11632
UFGD,6,516,0.07163
UFGD,10,392,0.05441
UFGD,16,386,0.05358
UFGD,12,282,0.03914
UFGD,5,269,0.03734
UFGD,14,255,0.0354
UFGD,8,224,0.03109
UFGD,7,221,0.03068
UFGD,11,189,0.02624
UFGD,17,91,0.01263
UFGD,9,90,0.01249
UFGD,13,88,0.01222
UFGD,1,72,0.00999
UNIPAMPA,4,1818,0.2308
UNIPAMPA,3,1115,0.14155
UNIPAMPA,2,782,0.09928
UNIPAMPA,15,731,0.0928
UNIPAMPA,7,560,0.07109
UNIPAMPA,14,463,0.05878
UNIPAMPA,6,385,0.04888
UNIPAMPA,16,340,0.04316
UNIPAMPA,10,275,0.03491
UNIPAMPA,5,266,0.03377
UNIPAMPA,11,240,0.03047
UNIPAMPA,8,226,0.02869
UNIPAMPA,9,218,0.02768
UNIPAMPA,13,171,0.02171
UNIPAMPA,12,124,0.01574
UNIPAMPA,17,109,0.01384
UNIPAMPA,1,54,0.00686
UFCSPA,3,3821,0.57754
UFCSPA,2,703,0.10626
UFCSPA,4,614,0.09281
UFCSPA,5,279,0.04217
